Date;Lights [kWh];Total [kWh]
8/7/2022 0:00;39,84599944;75,5455
9/7/2022 0:00;28,03682611;48,97865972
10/7/2022 0:00;27,54071972;45,62185639
11/7/2022 0:00;39,63266389;75,12179861
12/7/2022 0:00;37,17578194;71,59977083
13/7/2022 0:00;39,31372444;71,94453611
14/7/2022 0:00;35,84523444;67,3199275
15/7/2022 0:00;33,62797278;63,15629417
16/7/2022 0:00;21,64419722;44,81447972
17/7/2022 0:00;20,18826778;43,17284083
18/7/2022 0:00;33,49214444;64,57658139
19/7/2022 0:00;34,55779639;64,75979639
20/7/2022 0:00;38,61497194;73,00797861
21/7/2022 0:00;36,39227861;69,27043583
22/7/2022 0:00;39,37119417;70,66711333
23/7/2022 0:00;25,46341806;45,82895056
24/7/2022 0:00;25,24969667;45,46203805
25/7/2022 0:00;39,99491722;71,02530556
26/7/2022 0:00;39,54795944;71,24025639
27/7/2022 0:00;37,31382833;65,28730889
28/7/2022 0:00;34,317885;63,34278806
29/7/2022 0:00;35,53389972;65,37972806
30/7/2022 0:00;25,041945;45,798625
31/7/2022 0:00;24,48614361;44,2320075
1/8/2022 0:00;36,73080194;73,9740075
2/8/2022 0:00;35,38575556;71,00893889
3/8/2022 0:00;36,85896639;72,49284889
4/8/2022 0:00;36,5793675;72,54941472
5/8/2022 0:00;33,91956583;67,73731333
6/8/2022 0:00;24,39707833;43,93796389
7/8/2022 0:00;24,33361611;44,15416278
8/8/2022 0:00;35,61450333;66,66953694
9/8/2022 0:00;35,09121139;66,03327583
10/8/2022 0:00;33,48410945;69,51176306
11/8/2022 0:00;33,53963972;61,6021875
12/8/2022 0:00;32,90399556;60,97906028
13/8/2022 0:00;29,77327305;46,40830111
14/8/2022 0:00;29,73061861;46,61232639
15/8/2022 0:00;29,64232306;46,5679275
16/8/2022 0:00;28,70249861;45,74041806
17/8/2022 0:00;34,49474555;61,61873444
18/8/2022 0:00;35,01049333;63,37410806
19/8/2022 0:00;32,67060722;62,11767972
20/8/2022 0:00;28,38680361;47,19115778
21/8/2022 0:00;28,51943833;47,68275389
22/8/2022 0:00;37,52302806;69,2839825
